syndra_id,id_type,id_value,source,license
SYN0000176,BRD,BRD-K26756156,lincs_2020,custom_non_commercial
SYN0000177,BRD,BRD-K96188950,lincs_2020,custom_non_commercial
SYN0000178,BRD,BRD-K54264597,lincs_2020,custom_non_commercial
SYN0000179,BRD,BRD-K40269473,lincs_2020,custom_non_commercial
SYN0000180,BRD,BRD-K15616905,lincs_2020,custom_non_commercial
SYN0000181,BRD,BRD-K06159959,lincs_2020,custom_non_commercial
SYN0000182,BRD,BRD-A22997170,lincs_2020,custom_non_commercial
SYN0000183,BRD,BRD-K71860425,lincs_2020,custom_non_commercial
SYN0000184,BRD,BRD-A79314293,lincs_2020,custom_non_commercial
SYN0000185,BRD,BRD-K18135438,lincs_2020,custom_non_commercial
SYN0000186,BRD,BRD-K38159897,lincs_2020,custom_non_commercial
SYN0000187,BRD,BRD-K56483981,lincs_2020,custom_non_commercial
SYN0000188,BRD,BRD-K08111712,lincs_2020,custom_non_commercial
SYN0000189,BRD,BRD-K22969690,lincs_2020,custom_non_commercial
SYN0000190,BRD,BRD-A51182606,lincs_2020,custom_non_commercial
SYN0000191,BRD,BRD-A01593789,lincs_2020,custom_non_commercial
SYN0000192,BRD,BRD-K89595132,lincs_2020,custom_non_commercial
SYN0000193,BRD,BRD-A04553218,lincs_2020,custom_non_commercial
SYN0000194,BRD,BRD-A09073503,lincs_2020,custom_non_commercial
SYN0000195,BRD,BRD-K40367460,lincs_2020,custom_non_commercial
SYN0000196,BRD,BRD-A94494639,lincs_2020,custom_non_commercial
SYN0000197,BRD,BRD-K89997465,lincs_2020,custom_non_commercial
SYN0000198,BRD,BRD-K51073125,lincs_2020,custom_non_commercial
SYN0000199,BRD,BRD-K59058766,lincs_2020,custom_non_commercial
SYN0000199,BRD,BRD-K81091703,lincs_2020,custom_non_commercial
SYN0000200,BRD,BRD-A26384407,lincs_2020,custom_non_commercial
SYN0000201,BRD,BRD-K27911943,lincs_2020,custom_non_commercial
SYN0000202,BRD,BRD-A11702965,lincs_2020,custom_non_commercial
SYN0000203,BRD,BRD-K53263234,lincs_2020,custom_non_commercial
SYN0000204,BRD,BRD-K49668410,lincs_2020,custom_non_commercial
SYN0000205,BRD,BRD-K16762525,lincs_2020,custom_non_commercial
SYN0000206,BRD,BRD-K17850764,lincs_2020,custom_non_commercial
SYN0000207,BRD,BRD-K90864987,lincs_2020,custom_non_commercial
SYN0000208,BRD,BRD-K61195623,lincs_2020,custom_non_commercial
SYN0000209,BRD,BRD-K73589401,lincs_2020,custom_non_commercial
SYN0000210,BRD,BRD-K29731656,lincs_2020,custom_non_commercial
SYN0000211,BRD,BRD-K18190982,lincs_2020,custom_non_commercial
SYN0000212,BRD,BRD-K40331046,lincs_2020,custom_non_commercial
SYN0000213,BRD,BRD-K43234716,lincs_2020,custom_non_commercial
SYN0000214,BRD,BRD-A49680073,lincs_2020,custom_non_commercial
SYN0000215,BRD,BRD-A28105619,lincs_2020,custom_non_commercial
SYN0000216,BRD,BRD-K00088062,lincs_2020,custom_non_commercial
SYN0000217,BRD,BRD-K95992530,lincs_2020,custom_non_commercial
SYN0000218,BRD,BRD-K87226815,lincs_2020,custom_non_commercial
SYN0000219,BRD,BRD-K59573506,lincs_2020,custom_non_commercial
SYN0000220,BRD,BRD-A95207036,lincs_2020,custom_non_commercial
SYN0000221,BRD,BRD-K47000838,lincs_2020,custom_non_commercial
SYN0000221,BRD,BRD-K26664453,lincs_2020,custom_non_commercial
SYN0000222,BRD,BRD-A77118605,lincs_2020,custom_non_commercial
SYN0000223,BRD,BRD-K53888148,lincs_2020,custom_non_commercial
SYN0000224,BRD,BRD-K90976994,lincs_2020,custom_non_commercial
SYN0000225,BRD,BRD-K09129322,lincs_2020,custom_non_commercial
SYN0000226,BRD,BRD-K12567312,lincs_2020,custom_non_commercial
SYN0000227,BRD,BRD-K96527333,lincs_2020,custom_non_commercial
SYN0000228,BRD,BRD-K41170226,lincs_2020,custom_non_commercial
SYN0000229,BRD,BRD-A08027849,lincs_2020,custom_non_commercial
SYN0000230,BRD,BRD-K63835783,lincs_2020,custom_non_commercial
SYN0000231,BRD,BRD-K30697463,lincs_2020,custom_non_commercial
SYN0000232,BRD,BRD-A49447682,lincs_2020,custom_non_commercial
SYN0000233,BRD,BRD-K07265709,lincs_2020,custom_non_commercial
SYN0000234,BRD,BRD-K24053527,lincs_2020,custom_non_commercial
SYN0000235,BRD,BRD-K33211335,lincs_2020,custom_non_commercial
SYN0000236,BRD,BRD-K82002057,lincs_2020,custom_non_commercial
SYN0000237,BRD,BRD-A27143604,lincs_2020,custom_non_commercial
SYN0000238,BRD,BRD-A95074085,lincs_2020,custom_non_commercial
SYN0000239,BRD,BRD-K45330754,lincs_2020,custom_non_commercial
SYN0000239,BRD,BRD-K17084514,lincs_2020,custom_non_commercial
SYN0000240,BRD,BRD-K20152659,lincs_2020,custom_non_commercial
SYN0000241,BRD,BRD-A47144777,lincs_2020,custom_non_commercial
SYN0000242,BRD,BRD-K97440753,lincs_2020,custom_non_commercial
SYN0000243,BRD,BRD-A65076780,lincs_2020,custom_non_commercial
SYN0000244,BRD,BRD-A44701612,lincs_2020,custom_non_commercial
SYN0000245,BRD,BRD-K72166146,lincs_2020,custom_non_commercial
SYN0000246,BRD,BRD-M19787235,lincs_2020,custom_non_commercial
SYN0000247,BRD,BRD-A54845972,lincs_2020,custom_non_commercial
SYN0000248,BRD,BRD-M15413738,lincs_2020,custom_non_commercial
SYN0000249,BRD,BRD-K32645441,lincs_2020,custom_non_commercial
SYN0000250,BRD,BRD-K40654626,lincs_2020,custom_non_commercial
SYN0000251,BRD,BRD-K58930050,lincs_2020,custom_non_commercial
SYN0000252,BRD,BRD-K66090100,lincs_2020,custom_non_commercial
SYN0000253,BRD,BRD-K03564313,lincs_2020,custom_non_commercial
SYN0000254,BRD,BRD-K78567475,lincs_2020,custom_non_commercial
SYN0000255,BRD,BRD-K80315159,lincs_2020,custom_non_commercial
SYN0000256,BRD,BRD-A38706605,lincs_2020,custom_non_commercial
SYN0000257,BRD,BRD-A42264566,lincs_2020,custom_non_commercial
SYN0028439,BRD,BRD-U08759356,lincs_2020,custom_non_commercial
SYN0000258,BRD,BRD-K88759641,lincs_2020,custom_non_commercial
SYN0000259,BRD,BRD-A54236247,lincs_2020,custom_non_commercial
SYN0000260,BRD,BRD-K80115247,lincs_2020,custom_non_commercial
SYN0000261,BRD,BRD-K50660797,lincs_2020,custom_non_commercial
SYN0000262,BRD,BRD-K19216856,lincs_2020,custom_non_commercial
SYN0000263,BRD,BRD-K55591206,lincs_2020,custom_non_commercial
SYN0000264,BRD,BRD-A07765530,lincs_2020,custom_non_commercial
SYN0000265,BRD,BRD-A53131506,lincs_2020,custom_non_commercial
SYN0000266,BRD,BRD-K25836724,lincs_2020,custom_non_commercial
SYN0000267,BRD,BRD-K16233984,lincs_2020,custom_non_commercial
SYN0000268,BRD,BRD-K13629382,lincs_2020,custom_non_commercial
SYN0000269,BRD,BRD-A36066264,lincs_2020,custom_non_commercial
SYN0000270,BRD,BRD-A39747742,lincs_2020,custom_non_commercial
SYN0000271,BRD,BRD-K48195008,lincs_2020,custom_non_commercial
SYN0000272,BRD,BRD-A02367930,lincs_2020,custom_non_commercial
SYN0000273,BRD,BRD-A43286952,lincs_2020,custom_non_commercial
SYN0000274,BRD,BRD-K88969189,lincs_2020,custom_non_commercial
SYN0000275,BRD,BRD-K38756014,lincs_2020,custom_non_commercial
