parent_inchikey,n_brd_ids,brd_ids
UBYZDEGPUXBRQE,15,BRD-K17536501; BRD-K18142082; BRD-K25193509; BRD-K30597925; BRD-K33064989; BRD-K46065636; BRD-K47461610; BRD-K56884102; BRD-K58381953; BRD-K71368065; BRD-K76005220; BRD-K85440939; BRD-K88447092; BRD-K89174739; BRD-K97763545
SFUGSXPFEQWGAS,15,BRD-K01981286; BRD-K05353139; BRD-K07666543; BRD-K08061170; BRD-K16811158; BRD-K22912836; BRD-K30633722; BRD-K38459107; BRD-K46448313; BRD-K55699053; BRD-K64272762; BRD-K66586010; BRD-K70590207; BRD-K70647219; BRD-K83541009
OQCXBRWJDZLXCP,15,BRD-K19227646; BRD-K24284160; BRD-K36168475; BRD-K39244231; BRD-K41888813; BRD-K58835676; BRD-K65813214; BRD-K69901388; BRD-K79753227; BRD-K88472400; BRD-K94489736; BRD-K94881465; BRD-K97395479; BRD-K98061177; BRD-K98444789
AEYCXANGZGGWKX,15,BRD-K03995514; BRD-K10182851; BRD-K10385416; BRD-K11400546; BRD-K11548496; BRD-K21987633; BRD-K22945779; BRD-K27824357; BRD-K30723822; BRD-K38051696; BRD-K50639228; BRD-K57133453; BRD-K57579659; BRD-K57690336; BRD-K90146121
ZCWFLIQXFDCFQH,15,BRD-K01389427; BRD-K01822243; BRD-K05967016; BRD-K08856690; BRD-K16950565; BRD-K16993590; BRD-K21389281; BRD-K37977610; BRD-K41520544; BRD-K58284322; BRD-K68097207; BRD-K79355010; BRD-K86303874; BRD-K93994036; BRD-K98624380
ZJDDJVCOZFKVQY,15,BRD-K15160697; BRD-K16276539; BRD-K23220665; BRD-K47593849; BRD-K54785440; BRD-K57351233; BRD-K58941403; BRD-K59831227; BRD-K68365891; BRD-K68743686; BRD-K71575663; BRD-K84879982; BRD-K95935686; BRD-K97729706; BRD-K99016279
MEJMTXOOFVGIJM,15,BRD-K12341671; BRD-K17570530; BRD-K27035180; BRD-K31169989; BRD-K31467596; BRD-K38571893; BRD-K38977317; BRD-K44445002; BRD-K46014293; BRD-K59130783; BRD-K72173400; BRD-K72687327; BRD-K74261250; BRD-K77041516; BRD-K77718491
YBLKRDGTGIUFGT,15,BRD-K01329157; BRD-K02490064; BRD-K03707297; BRD-K08922114; BRD-K17288883; BRD-K17741643; BRD-K31302860; BRD-K42694358; BRD-K43327166; BRD-K53220080; BRD-K54635843; BRD-K62431786; BRD-K65165610; BRD-K66866904; BRD-K88748878
QGQQBUILFZGYME,15,BRD-K02953825; BRD-K13069055; BRD-K29609299; BRD-K30106607; BRD-K35429561; BRD-K45237033; BRD-K48875630; BRD-K59207957; BRD-K62803063; BRD-K64976146; BRD-K70751829; BRD-K82585779; BRD-K86813544; BRD-K90239051; BRD-K99953989
DDTMCUFVLBWJID,15,BRD-K09271653; BRD-K18094884; BRD-K29420358; BRD-K31437957; BRD-K36170758; BRD-K40646662; BRD-K44582497; BRD-K49203165; BRD-K61092554; BRD-K63145472; BRD-K63188051; BRD-K63504496; BRD-K87141723; BRD-K91836330; BRD-K95963125
NPRRWKGRZALGNG,15,BRD-K01739339; BRD-K07270511; BRD-K08041211; BRD-K08325197; BRD-K12559526; BRD-K21387011; BRD-K47295867; BRD-K52220918; BRD-K53437983; BRD-K60588371; BRD-K60760276; BRD-K67069164; BRD-K73517272; BRD-K74127463; BRD-K79788021
RFSXMDVZFWHRJB,14,BRD-K00954272; BRD-K02944060; BRD-K11031937; BRD-K21364577; BRD-K35189425; BRD-K35404971; BRD-K61929092; BRD-K62595167; BRD-K69318356; BRD-K71710045; BRD-K75749796; BRD-K87878159; BRD-K93657737; BRD-K99159184
QNPXTRYBNJAKIP,14,BRD-K01289045; BRD-K11901207; BRD-K18883945; BRD-K19589763; BRD-K42969667; BRD-K44681861; BRD-K51556413; BRD-K55943540; BRD-K63494246; BRD-K66442181; BRD-K81415316; BRD-K91572503; BRD-K96804382; BRD-K98168679
IDICBOGPMQOFGC,14,BRD-K01464244; BRD-K12117859; BRD-K13196166; BRD-K18488784; BRD-K19344710; BRD-K29597572; BRD-K39052671; BRD-K44722328; BRD-K55562948; BRD-K66838288; BRD-K72278003; BRD-K72439355; BRD-K84387578; BRD-K97373334
ZXKFKEACMTVYCV,14,BRD-K00391235; BRD-K02475229; BRD-K06725649; BRD-K06892639; BRD-K16619158; BRD-K21852581; BRD-K24465933; BRD-K32326107; BRD-K39635970; BRD-K51643793; BRD-K56890651; BRD-K60477859; BRD-K93738295; BRD-K98286370
JEEWDARUSPNTGW,14,BRD-K22211348; BRD-K22847783; BRD-K26258603; BRD-K27597389; BRD-K41862560; BRD-K49164596; BRD-K51413232; BRD-K56208365; BRD-K60391804; BRD-K66643665; BRD-K85144746; BRD-K86621086; BRD-K89505656; BRD-K92865756
WVFRUYXRTWIHMU,14,BRD-K07479774; BRD-K22479833; BRD-K25542589; BRD-K29035246; BRD-K29280435; BRD-K42712649; BRD-K51143622; BRD-K54391669; BRD-K55667009; BRD-K57216724; BRD-K63631822; BRD-K67037986; BRD-K83335786; BRD-K85742570
IVNRRFOIDKKMKL,14,BRD-K02314198; BRD-K03245321; BRD-K07060092; BRD-K16970289; BRD-K18667663; BRD-K19642661; BRD-K23897615; BRD-K27173348; BRD-K40954438; BRD-K44647644; BRD-K76859558; BRD-K80138901; BRD-K93406156; BRD-K98044070
BIOSPGAGQAHCPR,14,BRD-K00423214; BRD-K07534805; BRD-K15768601; BRD-K19693607; BRD-K32595757; BRD-K38510068; BRD-K41324679; BRD-K46400317; BRD-K54879095; BRD-K56022813; BRD-K74138110; BRD-K75220555; BRD-K79946769; BRD-K88467167
KEJHSICNFQEVJK,14,BRD-K10776934; BRD-K24565713; BRD-K34192219; BRD-K35404627; BRD-K45303727; BRD-K48207398; BRD-K52339742; BRD-K55460824; BRD-K57343972; BRD-K69521416; BRD-K69751974; BRD-K91905575; BRD-K93153656; BRD-K94062017
LCGKYSOTAAWDQI,14,BRD-K02502363; BRD-K10143126; BRD-K11759662; BRD-K18059480; BRD-K24754728; BRD-K25719068; BRD-K30459086; BRD-K38144109; BRD-K42543304; BRD-K46499837; BRD-K50521229; BRD-K71599932; BRD-K74163137; BRD-K79459005
IJWLFSVDDGQQHF,14,BRD-K03430401; BRD-K16775575; BRD-K27049144; BRD-K34106732; BRD-K35738777; BRD-K36138091; BRD-K42626894; BRD-K48076585; BRD-K49896210; BRD-K52123998; BRD-K60581054; BRD-K65310032; BRD-K88897538; BRD-K99198153
XJDNFUDAKLJUOC,14,BRD-K04238564; BRD-K08339178; BRD-K09186736; BRD-K15916856; BRD-K41431262; BRD-K45758869; BRD-K46505016; BRD-K57104759; BRD-K65455015; BRD-K66598898; BRD-K69603398; BRD-K72732164; BRD-K74507776; BRD-K87779281
INBITKGVNBCCNN,14,BRD-K00458136; BRD-K02109522; BRD-K06064877; BRD-K11366122; BRD-K11746559; BRD-K37631226; BRD-K40160468; BRD-K44036769; BRD-K50058777; BRD-K53315742; BRD-K55185663; BRD-K80092909; BRD-K87520488; BRD-K94809766
YWYDVFGOYOJBGO,14,BRD-K14340046; BRD-K19534956; BRD-K20192397; BRD-K31883841; BRD-K36048022; BRD-K40829514; BRD-K59472400; BRD-K60212338; BRD-K64968742; BRD-K76437403; BRD-K78009480; BRD-K78099132; BRD-K91180076; BRD-K93107794
LYYREMJMDQKNES,14,BRD-K24734706; BRD-K25923961; BRD-K26873914; BRD-K45177540; BRD-K60073229; BRD-K60477597; BRD-K60836534; BRD-K65603160; BRD-K70072942; BRD-K78420710; BRD-K79333016; BRD-K81658138; BRD-K81940726; BRD-K94217081
UJZHWGMAKJZUOC,14,BRD-K01727336; BRD-K04086909; BRD-K09526594; BRD-K10279767; BRD-K19597888; BRD-K38517635; BRD-K45231555; BRD-K53285126; BRD-K56931391; BRD-K58719691; BRD-K67766243; BRD-K78822642; BRD-K88608081; BRD-K96257627
JZQJXXSKGFWMTL,14,BRD-K00596708; BRD-K01221769; BRD-K01922500; BRD-K05984448; BRD-K07660364; BRD-K19390271; BRD-K26968526; BRD-K32380923; BRD-K36623409; BRD-K63860984; BRD-K68200852; BRD-K76379937; BRD-K82494270; BRD-K95611306
TYGOPRMPKRHVEQ,14,BRD-K10839108; BRD-K16561280; BRD-K17565092; BRD-K21152218; BRD-K25991572; BRD-K43609604; BRD-K61465460; BRD-K63828515; BRD-K74046820; BRD-K75666689; BRD-K76266174; BRD-K77705921; BRD-K82651890; BRD-K90734091
